"reitur","tog_nr","catch","catch_min","catch_max"
310,1,41.480124876814,22.9092565152305,68.0255115351945
310,11,32.7004945405392,12.5934863557887,46.8930928583127
311,1,148.716462305191,93.3903365665259,198.434815745628
311,2,56.0565835833108,18.5375818456048,91.3453461121709
311,11,26.9670493362643,5.02735635578865,54.4516526628404
311,12,43.2039581088296,38.7332824490992,50.1885587865764
311,31,195.8269105362,54.2569627492763,291.999858235783
312,1,110.765322209925,58.6555982194636,152.020367367156
315,1,494.764399265248,330.796240102273,646.925293647832
316,1,1845.71202792841,1224.35916231061,2425.20162087454
316,11,789.544639283552,290.656301814005,1624.59759059083
317,1,1127.68908787754,763.834709354903,1466.63062264976
317,11,1034.71108554623,498.46339983783,1553.34510232327
317,12,1291.3738718662,1113.96325368055,1405.43307502424
318,2,4100.13203699061,1814.98171089598,5566.46100526048
318,11,2647.43451023757,7.51484594645103,6832.74732596776
319,1,434.81761039646,123.998793802787,843.309234508536
319,11,295.208852985957,36.7290169033658,717.413191298177
319,12,1510.6381829162,1245.07224667265,1905.43072865353
319,31,1790.62566002985,254.470556015757,3511.9761282884
319,32,1511.98316517831,552.563989535748,3116.87543692804
319,35,2960.02961822446,1421.63309403193,4732.67578657761
319,36,579.521412830817,304.915883391508,914.85066939442
320,1,321.119625661493,210.597072255484,478.275943822988
320,3,1912.76966099246,1349.84459268585,2660.17580502729
320,4,853.981782308363,329.03217356277,1683.54611074085
320,11,642.136235823907,530.178160518833,768.538986608174
320,12,768.101097320282,657.615369994109,854.986131584573
320,13,1050.4694095179,206.11344018818,1616.24640825293
321,1,1936.42403175938,681.041291388626,3114.26005577711
321,2,495.500461438151,394.59573818414,684.733718259363
321,3,505.35112052567,354.978664985785,608.500196731933
321,4,773.584538162881,364.584407142736,1451.18031287949
321,11,1874.10616702609,803.448806674565,3978.79766448946
321,13,748.714202014752,498.203327275331,1020.04692410986
321,31,489.902938081854,230.238042682968,844.526564500167
322,1,641.298949527623,389.877454775119,781.198327617917
322,2,864.121379000144,436.006676676761,1233.75521865186
322,3,2078.86961022911,739.149070267846,2764.33796397883
322,11,2009.13545776635,1408.27575041523,2953.20757709414
322,12,1165.47459682819,416.615573006722,2542.453448011
322,13,445.693218448131,257.355096235349,648.321952881712
323,1,370.334691159547,59.6925063970384,724.233049208998
323,2,1907.80926566249,869.336921493089,2827.55012632927
323,11,1300.70930351598,356.166958392909,3167.97293636913
323,12,626.874795695513,268.820716871116,1185.53495928266
323,13,1170.37569800034,471.029374686477,1548.1688523856
324,1,7313.60683880411,608.411473015064,16859.4190461184
324,2,1405.42337708741,950.044367049193,1752.89941008938
324,3,1239.80026280562,632.067006380641,2449.94787824508
324,11,6702.85714540119,1568.04726602856,11568.1933726308
324,12,5716.7324895599,4125.4796756938,7995.67869285532
324,13,2306.90128338971,824.800374638541,4500.18037072283
360,1,15.5882235891504,8.15551766945381,20.7968062754133
361,1,198.991930658051,112.655511180607,289.501384786194
361,2,422.724829783462,248.541004907981,769.681028709375
361,11,40.2192556211013,18.559451674812,51.1433373479898
361,12,143.290219666047,56.8697144359322,203.316731324647
362,11,228.698100840078,200.8065649292,269.578324806436
363,11,367.850683266096,72.143485746612,798.990964987632
364,1,2082.96394977516,460.26146199804,3675.99830580467
364,2,1152.28540717117,636.371262377748,1816.21542464815
364,11,417.207252637967,215.34719942981,568.806466091715
364,12,508.866824523582,236.74357538527,775.339527878881
365,1,414.476326664707,67.863306407402,721.247402602208
365,2,1403.83858753124,881.736205410299,1741.06534588244
365,11,256.05071428025,158.219208484613,308.531952211424
365,35,320.465166183441,44.1660414183982,608.972917162127
366,1,6750.83988789891,2004.38640749469,15910.3261168488
366,2,7836.21616712957,1884.87199190186,11669.7218838518
366,11,934.840363978074,452.063637529048,1703.06101351879
366,12,165.734370481356,134.240560011227,216.741302410601
367,1,5302.58922498929,296.561504309633,10461.4562125372
367,11,411.412505788183,401.644800224172,422.751496384781
367,12,358.052462587208,180.984427719697,623.83708045425
367,31,867.42308524235,722.166310303961,958.301151682336
367,35,4714.76282057801,781.9130628311,11972.7668382007
370,1,5809.58729590956,2148.64832308469,11967.4655104301
370,11,685.489669755019,403.935817247399,910.513001976615
370,31,1065.09043030675,365.929220411976,2134.28751693535
371,1,660.249533429033,502.747452203639,806.834403596986
371,2,436.170181865163,402.323060751709,465.548341694847
371,11,679.62937047006,382.506649990516,1049.9679024507
371,12,475.389001929417,304.417591908437,634.343839283846
371,31,284.705339625112,198.65340579208,428.636749315171
371,32,314.100909820752,123.546731901984,495.538938928983
372,1,965.090181377818,462.992620629703,1314.05854261549
372,2,744.152172915472,227.901174416692,1597.46192046933
372,11,1067.64537320907,369.777362142886,2322.03658597635
372,31,860.754902522684,655.258911213388,1168.46387384942
373,1,1078.30909615028,744.358983229943,1384.27674254607
373,3,535.592202800847,379.159259369563,646.676871772745
373,11,312.780906773278,197.168164593827,410.037210282158
373,12,639.695599114128,334.971962199232,1065.56223253494
373,13,521.263550690512,180.828872977708,772.223168789068
374,1,1444.36627925693,684.641478218478,2658.87278924742
374,2,2186.69912565459,1032.74558244505,4421.32577651032
374,3,1808.69993461177,669.829253295514,3551.66604007373
374,11,712.421985866627,491.960439686993,932.731795048285
374,12,1122.07355214148,541.619614740586,1497.47517630725
374,13,314.807288253093,162.416232814012,401.51289576071
375,1,1170.84558123004,545.550889350268,2407.31836187589
375,11,13517.3848390984,6090.28186898638,20086.979568553
376,1,13661.1261107664,9565.12791620563,17172.0325785379
410,11,52.1259723388138,12.6256181149381,78.4345693190099
411,1,747.306777281096,306.187352808619,1281.98607992051
411,2,286.614381313153,119.559414091273,524.114593586108
411,3,312.147367716422,151.775230254878,426.749234636286
411,4,257.131086599854,133.078618627309,391.749446462665
411,11,126.992171355852,97.4487729233814,178.698755338759
411,12,121.5801538649,84.4024563369325,158.194831411965
411,13,231.403558172367,196.273673696314,286.350040835903
411,14,158.722565360265,55.4252217914051,292.682908623178
412,1,473.733162565962,225.239827309884,777.964138746679
412,2,1337.8326229046,275.223785394926,2977.73543449368
412,3,429.772361199824,128.857238369147,590.064663799785
412,4,1297.10487957752,581.114865507734,2725.6111885566
412,5,546.611384779487,297.547950834045,727.066574514971
412,6,938.073196599111,407.145254447793,1429.63529037411
412,11,522.736336341458,488.463105603474,566.865797173439
412,12,770.173892503673,504.761580754003,1272.82892050497
412,13,1151.65832652383,882.942794207454,1678.59617508017
412,16,134.473642477867,64.2735526260084,200.125081759685
413,1,527.878656009588,336.395894430841,831.235127944794
413,2,1444.57786043664,1114.14214648559,1968.0131102851
413,3,299.734767442646,73.3167029191316,635.531662468207
413,4,472.711165751785,394.009242316008,625.042578542248
413,5,589.698903025226,319.826209088884,778.368668666521
413,6,368.170132937888,207.39828162845,459.682491808627
413,7,204.170170805867,108.725027228187,312.486889594259
413,11,138.483184841829,107.636287708764,175.781695829712
413,12,482.57507152456,359.582441699995,589.67003598149
413,13,449.224182901095,192.780738934176,944.473799104368
413,14,205.669170575155,33.2531351416075,296.245272322816
413,15,420.095692335354,396.957125643247,442.164768952158
413,16,539.506308812541,443.68148892236,699.947347958276
413,17,201.176525267095,56.9733915612679,280.512767752646
413,18,423.65732099866,339.414199350108,586.347119113841
414,1,644.176722909686,263.58601094536,1004.90673888569
414,3,394.145214097838,268.938737064435,567.106626279627
414,11,557.397622419929,293.479607094455,718.961983626356
414,31,756.146488348485,588.721481791892,943.51885650777
415,1,358.36533900762,283.967913319906,466.561320928005
415,31,502.241589140024,347.494988889957,613.308588684963
421,35,646.402025641065,184.201816699068,929.924050297996
422,1,686.800696861713,360.825565761198,1185.68174498506
422,11,828.792275459867,515.497040172217,1292.2907727804
422,12,960.907686533968,521.130127097404,1326.37956386972
422,31,2292.89934189456,431.91564423386,5668.10884891454
422,32,707.312349967692,77.8387208179103,1965.52078094139
422,35,481.601814300825,344.289005578925,756.150486178371
422,36,1464.95839274,931.172249577998,2443.91536357831
423,1,380.068876807997,177.049377458437,547.108106552971
423,2,440.633951754892,331.438928549153,609.781550002465
423,3,328.853680846843,256.285820828144,463.177559851651
423,11,680.468866562749,353.092751774412,1132.44088986586
423,12,646.162774120322,592.111250300943,747.589901245534
423,13,1971.77832251554,402.536264278325,3271.98891035482
424,1,1608.62149986025,468.492638867449,3046.34557091367
424,2,701.379095887801,296.16160567173,910.881741855308
424,3,680.193271262242,468.79761514024,1051.62694733636
424,11,1205.67791491806,704.201545662607,1520.15963730632
424,12,469.854289208052,174.03933530033,789.984071750139
424,13,571.939249986352,233.072460807052,901.99600535469
425,1,1041.43296739704,602.527431434498,1336.35008007487
425,2,1607.57249163164,873.995768303169,2713.8939279609
425,11,1663.45476024132,1255.20121343587,2121.13557353287
425,12,2439.86558478332,957.195466918797,4195.33538689337
426,1,1498.59035501537,932.651738134281,2349.27325724169
426,2,1723.8547875933,687.337019557619,3137.56811910607
426,11,617.293017174181,278.10049703755,989.365116111038
426,12,334.60300818728,229.688956297746,405.499830851666
460,1,83.5921067731583,51.5157321957016,136.231245769288
461,1,481.82759980779,229.375046070063,943.813711436581
461,2,323.835230106184,193.731807496884,434.621131274902
461,11,30.8397610337446,18.8512522542291,44.8450785647599
461,12,34.2898625320606,1.33385708391192,73.1450302864597
461,15,110.588200195308,77.1673250093032,139.032195642457
462,1,959.57749090066,250.270772643956,1967.02158806192
462,2,733.001673470195,243.887344736573,1703.68485028381
462,3,1035.52476547805,153.200120851683,2533.38081399647
462,4,613.970841729578,432.147593600867,867.509691539463
462,5,365.815472787029,185.696925097577,661.039187373122
462,6,863.441428611529,499.160686189236,1294.87404757192
462,7,714.687402383957,197.329850722173,1180.53350834412
462,8,1181.28681117308,37.0706606918611,2934.39770176435
462,13,329.491724352341,111.478394286498,687.801470561947
462,17,597.749792001036,380.019027082245,928.555722940075
462,18,577.847478447637,112.213236369578,907.779612854041
463,1,749.121845560923,222.477402714358,1537.48264439227
472,11,157.987466348891,85.6621612872795,281.144401813766
473,1,954.550233334931,569.525636122551,1246.89783519584
473,2,296.255742022362,169.116812062157,454.281582716638
473,11,486.43633912448,256.104876066713,662.820861175311
474,1,7547.11763450699,2399.77966982228,10423.6951125859
474,2,474.54751387991,78.0395632015782,721.731326090041
474,4,621.782378148906,209.463189567577,1145.97540566643
474,11,381.597415370584,285.555784353611,518.367284875203
474,12,1298.95341158631,807.655745626478,1955.66319043208
474,13,740.015711380787,476.460875271605,1096.08541059428
474,31,1215.05966020292,286.666946811186,2309.97251424575
475,1,1050.04633442193,289.849666111964,1540.27876976591
475,2,372.159560913389,271.135912076037,440.259379815509
475,3,315.04035906564,187.840335987525,564.600588838431
475,11,473.061466612033,206.955268141049,829.457502902186
475,12,1898.93920739206,753.28439513923,2518.60214552366
475,13,327.384221119386,224.864768123336,451.084991193331
476,1,2232.76434341614,556.505545493997,4963.46314461715
476,2,840.361261392199,456.763176678334,1366.26507981787
476,3,383.194551378836,281.640773362622,519.614544883426
476,11,526.172178016375,372.589953570434,635.752370446981
476,12,1175.00760925323,430.642166375317,2553.90162301798
477,11,315.463293592512,215.645961098658,443.561784916752
511,1,460.462726475839,228.351360951127,887.592860014852
511,2,2610.74965239598,204.023412799745,6322.51055777008
511,11,341.004930324177,52.18177,862.564641770855
511,12,513.147039390719,202.022016366462,768.159599992421
511,13,204.925487480849,70.48993769015,393.052047205571
512,1,239.767759505773,154.816917496106,352.201316819255
512,2,205.518166448115,126.875816769815,275.98277126898
512,3,794.704081639259,453.030517530353,1233.13983766071
512,5,393.279774772816,234.396625513673,478.230473653682
512,6,269.112242344192,72.0962428267417,508.331369576232
512,7,557.715628320633,171.899881163698,806.829848525996
512,11,507.014719918733,351.707846984934,701.044536196369
512,12,396.75702399422,101.50977051908,564.56190784987
512,13,382.523143791952,342.48434601806,438.887817979409
